aX,aY,aZ,gX,gY,gZ
-0.175,-0.260,0.413,-23.560,-94.849,-106.750
-0.049,-0.464,0.618,-23.865,-73.792,-98.938
0.042,-0.516,0.785,-27.405,-45.288,-89.539
0.043,-0.554,0.915,-31.860,-10.437,-84.290
-0.010,-0.591,0.991,-34.241,28.381,-83.130
-0.041,-0.725,1.062,-38.391,66.284,-82.581
-0.134,-0.889,1.099,-46.570,97.473,-80.078
-0.178,-1.082,1.117,-55.298,118.774,-69.641
-0.166,-1.268,1.109,-57.861,130.432,-47.852
-0.201,-1.452,1.129,-49.194,134.460,-16.602
-0.211,-1.643,1.211,-28.198,134.888,21.912
-0.324,-1.900,1.274,6.348,126.099,64.331
-0.407,-2.329,1.573,53.772,105.957,107.788
-0.428,-2.786,1.838,113.403,77.209,149.597
-0.388,-3.219,1.988,175.232,25.757,169.067
-0.185,-3.389,1.998,209.778,-59.631,145.203
-0.060,-3.302,1.981,220.520,-159.180,81.238
0.661,-2.871,1.901,212.708,-243.896,-0.061
1.370,-2.515,2.135,172.119,-310.791,-88.135
2.727,-2.417,2.386,110.840,-350.891,-168.091
3.224,-2.568,2.693,50.720,-314.758,-223.389
2.455,-2.535,2.459,-10.193,-176.147,-215.088
0.943,-2.253,1.968,-67.200,38.818,-126.526
0.415,-1.920,1.213,-90.942,268.433,-30.640
0.089,-1.767,0.778,-58.533,399.658,26.428
-0.311,-1.791,0.696,5.737,429.199,44.739
-0.405,-1.807,0.711,64.514,393.799,40.466
-0.520,-1.767,0.876,99.426,311.096,42.419
-0.586,-1.623,0.952,100.708,204.407,55.786
-0.562,-1.527,1.002,74.341,97.412,73.792
-0.536,-1.404,1.020,34.180,6.409,97.107
-0.533,-1.229,1.045,-9.155,-58.777,121.216
-0.425,-1.228,1.011,-45.593,-111.572,152.039
-0.383,-1.253,1.048,-79.224,-143.188,168.884
-0.366,-1.186,1.029,-103.394,-138.428,182.678
-0.283,-1.116,1.022,-112.732,-112.732,192.200
-0.236,-1.065,0.967,-109.924,-84.106,190.613
-0.161,-1.059,0.896,-97.168,-56.335,176.270
-0.077,-1.087,0.801,-76.660,-37.659,155.090
-0.065,-1.071,0.730,-52.979,-19.592,128.296
-0.091,-1.037,0.730,-26.245,6.226,99.365
-0.011,-0.998,0.786,-0.305,39.185,71.838
0.134,-0.979,0.857,18.311,70.496,49.194
0.269,-0.917,0.917,27.039,97.534,36.560
0.341,-0.951,0.937,31.677,109.009,32.959
-0.331,-1.721,1.072,-17.700,55.725,12.939
-0.119,-1.861,1.252,-17.334,69.092,28.748
-0.029,-1.927,1.413,-5.188,85.571,23.071
-0.120,-1.996,1.453,15.686,100.342,-6.104
-0.323,-2.084,1.490,43.213,116.394,-48.706
-0.505,-2.236,1.486,76.721,121.460,-86.853
-0.734,-2.438,1.453,110.352,114.502,-111.084
-0.964,-2.634,1.400,135.925,99.426,-115.295
-0.859,-2.828,1.367,151.611,67.322,-107.666
-0.670,-3.091,1.346,151.672,1.892,-126.587
-0.094,-3.258,1.519,140.564,-87.524,-154.541
0.571,-3.423,1.749,125.427,-175.903,-185.913
1.340,-3.441,1.914,99.060,-259.583,-197.021
2.809,-3.286,2.173,48.950,-328.064,-170.593
2.898,-2.537,2.305,2.258,-358.398,-108.154
1.992,-2.041,2.143,-31.189,-313.599,-36.804
1.098,-1.948,1.741,-60.669,-175.964,20.935
0.274,-2.017,1.264,-68.726,10.864,67.200
-0.167,-2.104,1.122,-49.316,157.043,92.407
-0.285,-2.209,0.998,-8.545,241.333,100.220
-0.375,-2.272,0.992,36.926,258.728,96.924
-0.601,-2.174,1.047,72.937,243.835,98.999
-0.785,-2.057,1.145,89.172,209.839,103.027
-0.721,-1.916,1.168,85.999,162.537,103.149
-0.638,-1.725,1.097,71.594,104.431,100.830
-0.575,-1.611,1.023,53.223,37.231,101.990
-0.483,-1.528,0.970,29.724,-26.489,108.643
-0.392,-1.497,0.924,-0.061,-74.707,124.268
-0.295,-1.470,0.909,-36.377,-94.360,142.883
-0.243,-1.460,0.914,-70.374,-100.952,166.199
-0.170,-1.506,0.913,-94.849,-100.037,180.969
-0.098,-1.545,0.868,-110.046,-89.417,181.946
-0.026,-1.519,0.859,-118.225,-62.744,172.302
0.066,-1.440,0.853,-121.277,-24.902,158.508
0.130,-1.334,0.761,-118.164,15.442,143.494
0.160,-1.258,0.760,-109.009,50.293,126.221
0.200,-1.042,0.635,-91.919,84.900,109.619
0.221,-0.930,0.599,-61.829,116.943,89.478
0.236,-0.747,0.603,-31.799,124.451,74.341
0.285,-0.643,0.470,-7.324,122.192,62.866
